#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 597 | 0.000002288s | 56 B
                 598 | 0.000002256s | 56 B
                 599 | 0.000002243s | 56 B
                 600 | 0.000002275s | 56 B
                 601 | 0.000003881s | 56 B
                 602 | 0.000003511s | 56 B
                 603 | 0.000003169s | 56 B
                 604 | 0.000002472s | 56 B
                 605 | 0.000002308s | 56 B
                 606 | 0.000002286s | 56 B
                 607 | 0.000002271s | 56 B
                 608 | 0.000002249s | 56 B
                 609 | 0.000002261s | 56 B
                 610 | 0.000002357s | 56 B
                 611 | 0.000002636s | 56 B
                 612 | 0.000002486s | 56 B
                 613 | 0.000002278s | 56 B
                 614 | 0.000002313s | 56 B
                 615 | 0.000002263s | 56 B
                 616 | 0.000002281s | 56 B
                 617 | 0.000002207s | 56 B
                 618 | 0.000002237s | 56 B
                 619 | 0.000002096s | 56 B
                 620 | 0.000004187s | 56 B
                 621 | 0.000002959s | 56 B
                 622 | 0.000002360s | 56 B
                 623 | 0.000002186s | 56 B
                 624 | 0.000002258s | 56 B
                 625 | 0.000002198s | 56 B
                 626 | 0.000002196s | 56 B
                 627 | 0.000002210s | 56 B
                 628 | 0.000002266s | 56 B
                 629 | 0.000002371s | 56 B
                 630 | 0.000002218s | 56 B
                 631 | 0.000002328s | 56 B
                 632 | 0.000002291s | 56 B
                 633 | 0.000003949s | 56 B
                 634 | 0.000003358s | 56 B
                 635 | 0.000002485s | 56 B
                 636 | 0.000002360s | 56 B
                 637 | 0.000002250s | 56 B
                 638 | 0.000002495s | 56 B
                 639 | 0.000002330s | 56 B
                 640 | 0.000002191s | 56 B
                 641 | 0.000002220s | 56 B
                 642 | 0.000002230s | 56 B
                 643 | 0.000002217s | 56 B
                 644 | 0.000002268s | 56 B
                 645 | 0.000002166s | 56 B
                 646 | 0.000002201s | 56 B
                 647 | 0.000003341s | 64 B
                 648 | 0.000002811s | 64 B
                 649 | 0.000003300s | 64 B
                 650 | 0.000003260s | 64 B
                 651 | 0.000003084s | 64 B
                 652 | 0.000003151s | 64 B
                 653 | 0.000003213s | 64 B
                 654 | 0.000003180s | 64 B
                 655 | 0.000003388s | 64 B
                 656 | 0.000003869s | 64 B
                 657 | 0.000003357s | 64 B
                 658 | 0.000003136s | 64 B
                 659 | 0.000003124s | 64 B
                 660 | 0.000003142s | 64 B
                 661 | 0.000003086s | 64 B
                 662 | 0.000003164s | 64 B
                 663 | 0.000003104s | 64 B
                 664 | 0.000003153s | 64 B
                 665 | 0.000003368s | 64 B
                 666 | 0.000003309s | 64 B
                 667 | 0.000003231s | 64 B
                 668 | 0.000003186s | 64 B
                 669 | 0.000003041s | 64 B
                 670 | 0.000003148s | 64 B
                 671 | 0.000003071s | 64 B
                 672 | 0.000003072s | 64 B
                 673 | 0.000011340s | 64 B
                 674 | 0.000002285s | 64 B
                 675 | 0.000002076s | 64 B
                 676 | 0.000002113s | 64 B
                 677 | 0.000002079s | 64 B
                 678 | 0.000002494s | 64 B
                 679 | 0.000002099s | 64 B
                 680 | 0.000002120s | 64 B
                 681 | 0.000002148s | 64 B
                 682 | 0.000002100s | 64 B
                 683 | 0.000002106s | 64 B
                 684 | 0.000012100s | 64 B
                 685 | 0.000002632s | 64 B
                 686 | 0.000002268s | 64 B
                 687 | 0.000002249s | 64 B
                 688 | 0.000002119s | 64 B
                 689 | 0.000002160s | 64 B
                 690 | 0.000002152s | 64 B
                 691 | 0.000002044s | 64 B
                 692 | 0.000002164s | 64 B
                 693 | 0.000002043s | 64 B
                 694 | 0.000002983s | 64 B
                 695 | 0.000002535s | 64 B
                 696 | 0.000002281s | 64 B
                 697 | 0.000002227s | 64 B
                 698 | 0.000002187s | 64 B
                 699 | 0.000002178s | 64 B
                 700 | 0.000002221s | 64 B
                 701 | 0.000002121s | 64 B
                 702 | 0.000002152s | 64 B
                 703 | 0.000002176s | 64 B
                 704 | 0.000002599s | 64 B
                 705 | 0.000002286s | 64 B
                 706 | 0.000002216s | 64 B
                 707 | 0.000002245s | 64 B
                 708 | 0.000002264s | 64 B
                 709 | 0.000002193s | 64 B
                 710 | 0.000002207s | 64 B
                 711 | 0.000002207s | 64 B
                 712 | 0.000002198s | 64 B
                 713 | 0.000003212s | 64 B
                 714 | 0.000002628s | 64 B
                 715 | 0.000002313s | 64 B
                 716 | 0.000002216s | 64 B
                 717 | 0.000002173s | 64 B
                 718 | 0.000004527s | 64 B
                 719 | 0.000003274s | 64 B
                 720 | 0.000003923s | 64 B
                 721 | 0.000002794s | 64 B
                 722 | 0.000002490s | 64 B
                 723 | 0.000002821s | 64 B
                 724 | 0.000002565s | 64 B
                 725 | 0.000002414s | 64 B
                 726 | 0.000002482s | 64 B
                 727 | 0.000002465s | 64 B
              176805 | 0.000637035s | 15344 B
              352883 | 0.000889983s | 30624 B
              528961 | 0.002610305s | 45904 B
              705039 | 0.004409274s | 61184 B
              881117 | 0.002658495s | 76464 B
             1057195 | 0.003049551s | 91744 B
             1233273 | 0.003866618s | 107024 B
             1409351 | 0.004343831s | 122304 B
             1585429 | 0.006805374s | 137584 B
             1761507 | 0.005829997s | 152864 B
             1937585 | 0.007695723s | 168144 B
             2113663 | 0.007109212s | 183432 B
             2289741 | 0.012958143s | 198712 B
             2465819 | 0.008515431s | 213992 B
             2641897 | 0.009675144s | 229272 B
             2817975 | 0.009383129s | 244552 B
             2994053 | 0.010616815s | 259832 B
             3170131 | 0.010537661s | 275112 B
             3346209 | 0.012111638s | 290392 B
             3522287 | 0.012234054s | 305672 B
             3698365 | 0.013573378s | 320952 B
             3874443 | 0.013879836s | 336232 B
             4050521 | 0.014284093s | 351512 B
             4226599 | 0.014074848s | 366792 B
             4402677 | 0.015617492s | 382072 B
             4578755 | 0.017917674s | 397352 B
             4754833 | 0.019099618s | 412632 B
             4930911 | 0.019293019s | 427912 B
             5106989 | 0.020088825s | 443192 B
             5283067 | 0.025079166s | 458472 B
             5459145 | 0.020601383s | 473752 B
             5635223 | 0.022113592s | 489032 B
